# format_version=1
# run_id=1:14537:201389
# id=1
# s=14537
# p=201389
# N=2927591893
# sqrtN=54107
# Nmin=1
# Mmax=1000000
# W=2
# depth=2
# timelimit_sec=100
# status=TIMEOUT_WITH_ROOTS
# roots_found=8
# fractions_tested=3178144
# unique_fractions=3178144
# build_time_sec=0.000000
# search_time_sec=99.999998
# total_time_sec=100.000005
# stopped_reason=timeout_with_roots
# error_message=
run_id root_idx x0 root_x triplet_x0 triplet_x2 aF bF loop_i loop_dx offset frac_n frac_d level interval_L interval_R parent_L parent_R interval_examined_L interval_examined_R examined_pct frac_path
1:14537:201389 0 4849 14537/3 4847 4851 11709372906/94051188 -113562248027382/94051188 1 4849 2 2 249 1 1/125 1/124 1/125 1/124 4844 4854 0.020330 -
1:14537:201389 1 4849 402778/83 4847 4851 11709372906/94051188 -113562248027382/94051188 1 4849 2 2 249 1 1/125 1/124 1/125 1/124 4844 4854 0.020330 -
1:14537:201389 2 3418 201389/59 3415 3419 11710912655/46703540 -80030497266785/46703540 0 3417 2 2 501 1 1/251 1/250 1/251 1/250 3413 3422 0.018482 -
1:14537:201389 3 3418 58148/17 3415 3419 11710912655/46703540 -80030497266785/46703540 0 3417 2 2 501 1 1/251 1/250 1/251 1/250 3413 3422 0.018482 -
1:14537:201389 4 2424 14537/6 2423 2425 5852271900/11751550 -28378865101200/11751550 0 2424 1 1 498 1 1/498 1/497 1/498 1/497 2422 2426 0.009241 -
1:14537:201389 5 2424 201389/83 2423 2425 5852271900/11751550 -28378865101200/11751550 0 2424 1 1 498 1 1/498 1/497 1/498 1/497 2422 2426 0.009241 -
1:14537:201389 6 1816 201389/111 1815 1817 5856990480/6595710 -21269304759780/6595710 0 1816 1 1 887 1 1/887 1/886 1/887 1/886 1814 1817 0.007393 -
1:14537:201389 7 1816 14537/8 1815 1817 5856990480/6595710 -21269304759780/6595710 0 1816 1 1 887 1 1/887 1/886 1/887 1/886 1814 1817 0.007393 -
