# format_version=1
# run_id=2:356647:2760721
# id=2
# s=356647
# p=2760721
# N=984602862487
# sqrtN=992271
# Nmin=1
# Mmax=1000
# W=500
# depth=3
# timelimit_sec=200
# status=TIMEOUT_WITH_ROOTS
# roots_found=8
# fractions_tested=1565483
# unique_fractions=1565483
# build_time_sec=0.000000
# search_time_sec=200.000018
# total_time_sec=200.000024
# stopped_reason=timeout_with_roots
# error_message=
run_id root_idx x0 root_x triplet_x0 triplet_x2 aF bF loop_i loop_dx offset frac_n frac_d level interval_L interval_R parent_L parent_R interval_examined_L interval_examined_R examined_pct frac_path
2:356647:2760721 0 690591 2760721/4 690560 690622 61045238824960/29568787555840 -84314666126443717120/29568787555840 0 690591 31 31 64 2 16/33 15/31 1/3 1/2 690180 691003 0.083042 -
2:356647:2760721 1 690591 11056057/16 690560 690622 61045238824960/29568787555840 -84314666126443717120/29568787555840 0 690591 31 31 64 2 16/33 15/31 1/3 1/2 690180 691003 0.083042 -
2:356647:2760721 2 50942 13803605/271 50936 50946 9845374820064/25949854560 -1003099760701219104/25949854560 1 50941 5 5 1897 2 3/1138 2/759 1/380 1/379 50931 50955 0.002519 -
2:356647:2760721 3 50942 356647/7 50936 50946 9845374820064/25949854560 -1003099760701219104/25949854560 1 50941 5 5 1897 2 3/1138 2/759 1/380 1/379 50931 50955 0.002519 -
2:356647:2760721 4 48655 1069941/22 48634 48676 41352146345312/99426960528 -4024034412999185120/99426960528 0 48655 21 21 8734 2 10/4159 11/4575 1/416 1/415 48633 48677 0.004535 -
2:356647:2760721 5 48655 19325047/397 48634 48676 41352146345312/99426960528 -4024034412999185120/99426960528 0 48655 21 21 8734 2 10/4159 11/4575 1/416 1/415 48633 48677 0.004535 -
2:356647:2760721 6 43488 5521442/127 43481 43491 9846604514397/18910321710 -856353837322966647/18910321710 0 43486 5 5 2603 2 2/1041 3/1562 1/521 1/520 43475 43502 0.002822 -
2:356647:2760721 7 43488 1783235/41 43481 43491 9846604514397/18910321710 -856353837322966647/18910321710 0 43486 5 5 2603 2 2/1041 3/1562 1/521 1/520 43475 43502 0.002822 -
