# format_version=1
# run_id=2:3784463:25844453
# id=2
# s=3784463
# p=25844453
# N=97807376133739
# sqrtN=9889761
# Nmin=1
# Mmax=1000
# W=500
# depth=3
# timelimit_sec=200
# status=TIMEOUT_WITH_ROOTS
# roots_found=8
# fractions_tested=3005123
# unique_fractions=3005123
# build_time_sec=0.000000
# search_time_sec=200.000026
# total_time_sec=200.000030
# stopped_reason=timeout_with_roots
# error_message=
run_id root_idx x0 root_x triplet_x0 triplet_x2 aF bF loop_i loop_dx offset frac_n frac_d level interval_L interval_R parent_L parent_R interval_examined_L interval_examined_R examined_pct frac_path
2:3784463:25844453 0 993907 374661837/377 993808 994006 19365833255480192/195594520739904 -38495701368070661921024/195594520739904 0 993907 99 99 9802 2 100/9901 99/9802 1/100 1/99 993797 994017 0.002235 -
2:3784463:25844453 1 993907 25844453/26 993808 994006 19365833255480192/195594520739904 -38495701368070661921024/195594520739904 0 993907 99 99 9802 2 100/9901 99/9802 1/100 1/99 993797 994017 0.002235 -
2:3784463:25844453 2 540658 3784463/7 540654 540664 978076468140576/2923121542560 -1057610224723689919584/2923121542560 3 540659 5 5 1673 2 2/669 3/1004 1/335 1/334 540617 540700 0.000849 -
2:3784463:25844453 3 540658 129222265/239 540654 540664 978076468140576/2923121542560 -1057610224723689919584/2923121542560 3 540659 5 5 1673 2 2/669 3/1004 1/335 1/334 540617 540700 0.000849 -
2:3784463:25844453 4 8078365 129222265/16 8078016 8078806 77268697368612864/51555972061827840 -1248409543747726578430464/51555972061827840 243 8078411 395 395 592 3 393/589 395/592 3/4 2/3 8071334 8085522 0.143472 -
2:3784463:25844453 5 8078365 298972577/37 8078016 8078806 77268697368612864/51555972061827840 -1248409543747726578430464/51555972061827840 243 8078411 395 395 592 3 393/589 395/592 3/4 2/3 8071334 8085522 0.143472 -
2:3784463:25844453 6 8077382 129222265/16 8077009 8078119 108571074337142144/72424214251338810 -1753940065526287006934846/72424214251338810 459 8077564 555 555 832 3 553/829 555/832 3/4 2/3 8072174 8082641 0.105847 -
2:3784463:25844453 7 8077382 420075393/52 8077009 8078119 108571074337142144/72424214251338810 -1753940065526287006934846/72424214251338810 459 8077564 555 555 832 3 553/829 555/832 3/4 2/3 8072174 8082641 0.105847 -
