# format_version=1
# run_id=9:26921:243953
# id=9
# s=26921
# p=243953
# N=6567458713
# sqrtN=81039
# Nmin=1
# Mmax=500
# W=1
# depth=7
# timelimit_sec=200
# status=TIMEOUT_WITH_ROOTS
# roots_found=80
# fractions_tested=821332
# unique_fractions=821332
# build_time_sec=0.000000
# search_time_sec=200.000008
# total_time_sec=200.000009
# stopped_reason=timeout_with_roots
# error_message=
run_id root_idx x0 root_x triplet_x0 triplet_x2 aF bF loop_i loop_dx offset frac_n frac_d level interval_L interval_R parent_L parent_R interval_examined_L interval_examined_R examined_pct frac_path
9:26921:243953 32 3865 26921/7 3846 3872 170748369792/387184512 -1317857213202816/387184512 0 3859 13 13 5714 4 2/879 11/4835 2/879 7/3077 3845 3884 0.049359 -
9:26921:243953 33 3865 243953/63 3846 3872 170748369792/387184512 -1317857213202816/387184512 0 3859 13 13 5714 4 2/879 11/4835 2/879 7/3077 3845 3884 0.049359 -
9:26921:243953 34 3853 26921/7 3846 3872 170748369792/387184512 -1317857213202816/387184512 12 3859 13 13 5749 4 9/3980 13/5749 5/2211 4/1769 3833 3872 0.049359 -
9:26921:243953 35 3853 243953/63 3846 3872 170748369792/387184512 -1317857213202816/387184512 12 3859 13 13 5749 4 9/3980 13/5749 5/2211 4/1769 3833 3872 0.049359 -
9:26921:243953 36 3853 26921/7 3846 3872 170748369792/387184512 -1317857213202816/387184512 12 3859 13 13 5750 4 10/4423 13/5750 7/3096 3/1327 3833 3872 0.049359 -
9:26921:243953 37 3853 243953/63 3846 3872 170748369792/387184512 -1317857213202816/387184512 12 3859 13 13 5750 4 10/4423 13/5750 7/3096 3/1327 3833 3872 0.049359 -
9:26921:243953 38 18819 243953/13 18771 18841 459763734300/24756508770 -17291834292922740/24756508770 4 18806 35 35 649 5 24/445 11/204 2/37 11/204 18755 18883 0.159183 -
9:26921:243953 39 18819 188447/10 18771 18841 459763734300/24756508770 -17291834292922740/24756508770 4 18806 35 35 649 5 24/445 11/204 2/37 11/204 18755 18883 0.159183 -
9:26921:243953 40 16327 243953/15 16269 16351 538679198475/21813182358 -17569295521084857/21813182358 3 16310 41 41 1010 5 30/739 41/1010 19/468 11/271 16262 16395 0.165352 -
9:26921:243953 41 16327 2207522/135 16269 16351 538679198475/21813182358 -17569295521084857/21813182358 3 16310 41 41 1010 5 30/739 41/1010 19/468 11/271 16262 16395 0.165352 -
9:26921:243953 42 9151 1103761/121 9123 9205 538545879795/6886131630 -9870335613042555/6886131630 33 9164 41 41 3215 5 29/2274 41/3215 17/1333 12/941 9090 9212 0.151779 -
