# format_version=1
# run_id=1:2369673382919:21785582289157
# id=1
# s=2369673382919
# p=21785582289157
# N=51624714482006920242709283
# sqrtN=7185034062689
# Nmin=1
# Mmax=1000000
# W=2
# depth=2
# timelimit_sec=500
# status=TIMEOUT_WITH_ROOTS
# roots_found=8
# fractions_tested=7750619
# unique_fractions=7750620
# build_time_sec=0.000000
# search_time_sec=499.999994
# total_time_sec=500.000005
# stopped_reason=timeout_with_roots
# error_message=
run_id root_idx x0 root_x triplet_x0 triplet_x2 aF bF loop_i loop_dx offset frac_n frac_d level interval_L interval_R parent_L parent_R interval_examined_L interval_examined_R examined_pct frac_path
1:2369673382919:21785582289157 0 7706254846 21785582289157/2827 7706254843 7706254847 206498857846755509725561410/237545454944343896084 -3182665648163355742348711064521826318/237545454944343896084 0 7706254845 2 2 1738605 1 1/869303 1/869302 1/869303 1/869302 7706254759 7706254934 0.000000 -
1:2369673382919:21785582289157 1 7706254846 4739346765838/615 7706254843 7706254847 206498857846755509725561410/237545454944343896084 -3182665648163355742348711064521826318/237545454944343896084 0 7706254845 2 2 1738605 1 1/869303 1/869302 1/869303 1/869302 7706254759 7706254934 0.000000 -
1:2369673382919:21785582289157 2 7706254846 21785582289157/2827 7706254845 7706254849 206498857953940575377800050/237545455067643973620 -3182665649815346605662213880992912990/237545455067643973620 2 7706254847 2 2 1738605 1 1/869303 1/869302 1/869303 1/869302 7706254759 7706254934 0.000000 -
1:2369673382919:21785582289157 3 7706254846 4739346765838/615 7706254845 7706254849 206498857953940575377800050/237545455067643973620 -3182665649815346605662213880992912990/237545455067643973620 2 7706254847 2 2 1738605 1 1/869303 1/869302 1/869303 1/869302 7706254759 7706254934 0.000000 -
1:2369673382919:21785582289157 4 19265637116 108927911445785/5654 19265637113 19265637123 516247144911647704861384716/3711647735624593458990 -19891660312378408348118514107025765648/3711647735624593458990 4 19265637118 5 5 695442 2 3/417265 2/278177 1/139089 1/139088 19265636712 19265637521 0.000000 -
1:2369673382919:21785582289157 5 19265637116 2369673382919/123 19265637113 19265637123 516247144911647704861384716/3711647735624593458990 -19891660312378408348118514107025765648/3711647735624593458990 4 19265637118 5 5 695442 2 3/417265 2/278177 1/139089 1/139088 19265636712 19265637521 0.000000 -
1:2369673382919:21785582289157 6 9632818558 108927911445785/11308 9632818554 9632818564 516247144911647704757068416/927911933906148364560 -9945830156189205099961470978547079184/927911933906148364560 3 9632818559 5 5 2781768 2 2/1112707 3/1669061 1/556354 1/556353 9632818419 9632818697 0.000000 -
1:2369673382919:21785582289157 7 9632818558 2369673382919/246 9632818554 9632818564 516247144911647704757068416/927911933906148364560 -9945830156189205099961470978547079184/927911933906148364560 3 9632818559 5 5 2781768 2 2/1112707 3/1669061 1/556354 1/556353 9632818419 9632818697 0.000000 -
