# format_version=1
# run_id=1:1525063:17267711
# id=1
# s=1525063
# p=17267711
# N=26334347140793
# sqrtN=5131700
# Nmin=1
# Mmax=1000000
# W=2
# depth=2
# timelimit_sec=100
# status=TIMEOUT_WITH_ROOTS
# roots_found=8
# fractions_tested=1533323
# unique_fractions=1533323
# build_time_sec=0.000000
# search_time_sec=99.999999
# total_time_sec=100.000008
# stopped_reason=timeout_with_roots
# error_message=
run_id root_idx x0 root_x triplet_x0 triplet_x2 aF bF loop_i loop_dx offset frac_n frac_d level interval_L interval_R parent_L parent_R interval_examined_L interval_examined_R examined_pct frac_path
1:1525063:17267711 0 89705 34535422/385 89703 89707 105335060104890/32187948084 -18898371984919457934/32187948084 1 89705 2 2 6545 1 1/3273 1/3272 1/3273 1/3272 89701 89711 0.000214 -
1:1525063:17267711 1 89705 1525063/17 89703 89707 105335060104890/32187948084 -18898371984919457934/32187948084 1 89705 2 2 6545 1 1/3273 1/3272 1/3273 1/3272 89701 89711 0.000214 -
1:1525063:17267711 2 54470 1525063/28 54467 54471 105335821961328/11867487828 -11475159100060632984/11867487828 0 54469 2 2 17751 1 1/8876 1/8875 1/8876 1/8875 54466 54473 0.000156 -
1:1525063:17267711 3 54470 17267711/317 54467 54471 105335821961328/11867487828 -11475159100060632984/11867487828 0 54469 2 2 17751 1 1/8876 1/8875 1/8876 1/8875 54466 54473 0.000156 -
1:1525063:17267711 4 29902 34535422/1155 29901 29903 52668704264715/1788259206 -3149798890313598855/1788259206 0 29902 1 1 29451 1 1/29451 1/29450 1/29451 1/29450 29900 29903 0.000078 -
1:1525063:17267711 5 29902 1525063/51 29901 29903 52668704264715/1788259206 -3149798890313598855/1788259206 0 29902 1 1 29451 1 1/29451 1/29450 1/29451 1/29450 29900 29903 0.000078 -
1:1525063:17267711 6 29902 34535422/1155 29901 29903 52668704264715/1788259206 -3149798890313598855/1788259206 0 29902 1 1 29452 1 1/29452 1/29451 1/29452 1/29451 29900 29903 0.000078 -
1:1525063:17267711 7 29902 1525063/51 29901 29903 52668704264715/1788259206 -3149798890313598855/1788259206 0 29902 1 1 29452 1 1/29452 1/29451 1/29452 1/29451 29900 29903 0.000078 -
